Checklist Id, Date, Species Code, English name, Amount
S169122733, 18-4-2024, cowpig1, Common Woodpigeon, 1
S169122733, 18-4-2024, eucdov, Collared Dove, 2
S169122733, 18-4-2024, eurmag1, Common Magpie, 5
S169122733, 18-4-2024, eurjac, Eurasian Jackdaw, 1
S169122733, 18-4-2024, carcro1, Carrion Crow, 2
S169122733, 18-4-2024, coatit2, Coal Tit, 1
S169122733, 18-4-2024, blutit, Eurasian Blue Tit, 1
S169178508, 18-4-2024, eucdov, Collared Dove, 2
S169178508, 18-4-2024, eurmag1, Common Magpie, 3
S169178508, 18-4-2024, carcro1, Carrion Crow, 1
S169178508, 18-4-2024, coatit2, Coal Tit, 1
S169178508, 18-4-2024, dunnoc, Dunnock, 6
